Transaction ID,Amount,Reference Number,Date,Description,Account Number
TXN0001,3088.07,REF0001,2024-02-02,Travel #1,ACC0001
TXN0002,3584.85,REF0002,2024-03-03,Subscription #2,ACC0002
TXN0003,392.89,REF0003,2024-04-04,Equipment #3,ACC0003
TXN0004,503.88,REF0004,2024-05-05,Supplies #4,ACC0004
TXN0005,2122.23,REF0005,2024-06-06,Training #5,ACC0005
TXN0006,3093.53,REF0006,2024-07-07,Travel #6,ACC0006
TXN0007,3926.69,REF0007,2024-08-08,Equipment #7,ACC0007
TXN0008,277.46,REF0008,2024-09-09,Maintenance #8,ACC0008
TXN0009,3000.07,REF0009,2024-10-10,Maintenance #9,ACC0009
TXN0010,378.97,REF0010,2024-11-11,Payment #10,ACC0010
TXN0011,4448.79,REF0011,2024-12-12,Payment #11,ACC0011
TXN0012,3964.94,REF0012,2024-01-13,Payment #12,ACC0012
TXN0013,2299.04,REF0013,2024-02-14,Marketing #13,ACC0013
TXN0014,2373.37,REF0014,2024-03-15,Maintenance #14,ACC0014
TXN0015,2054.40,REF0015,2024-04-16,Payment #15,ACC0015
TXN0016,1711.13,REF0016,2024-05-17,Marketing #16,ACC0016
TXN0017,1398.72,REF0017,2024-06-18,Payment #17,ACC0017
TXN0018,2391.74,REF0018,2024-07-19,Travel #18,ACC0018
TXN0019,1915.06,REF0019,2024-08-20,Training #19,ACC0019
TXN0020,3748.54,REF0020,2024-09-21,License #20,ACC0020
TXN0021,4274.02,REF0021,2024-10-22,Supplies #21,ACC0021
TXN0022,599.74,REF0022,2024-11-23,Travel #22,ACC0022
TXN0023,1807.99,REF0023,2024-12-24,Consulting #23,ACC0023
TXN0024,3018.17,REF0024,2024-01-25,License #24,ACC0024
TXN0025,947.18,REF0025,2024-02-26,Maintenance #25,ACC0025
TXN0026,4976.22,REF0026,2024-03-27,Marketing #26,ACC0026
TXN0027,2654.50,REF0027,2024-04-28,Training #27,ACC0027
TXN0028,2622.66,REF0028,2024-05-01,Supplies #28,ACC0028
TXN0029,485.04,REF0029,2024-06-02,Supplies #29,ACC0029
TXN0030,4051.50,REF0030,2024-07-03,Maintenance #30,ACC0030
TXN0031,460.71,REF0031,2024-08-04,Maintenance #31,ACC0031
TXN0032,2000.37,REF0032,2024-09-05,Marketing #32,ACC0032
TXN0033,1282.35,REF0033,2024-10-06,Equipment #33,ACC0033
TXN0034,3157.42,REF0034,2024-11-07,Marketing #34,ACC0034
TXN0035,2694.19,REF0035,2024-12-08,Travel #35,ACC0035
