Transaction ID,Amount,Reference Number,Date,Description,Account Number
TXN001,1500.00,REF001,2024-01-15,Payment for services,ACC001
TXN002,2500.00,REF002,2024-01-16,Equipment purchase,ACC002
TXN003,755.00,REF003,2024-01-17,Office supplies,ACC003
TXN004,3200.00,REF004,2024-01-18,Consulting fee,ACC004
TXN005,980.00,REF005,2024-01-19,Software license,ACC005
TXN006,1200.00,REF006,2024-01-20,Travel expenses,ACC008
TXN006,1200.00,REF006,2024-01-20,Travel expenses (dup),ACC008
TXN011,1800.00,REF011,2024-01-25,New vendor,ACC006
TXN012,920.00,REF012,2024-01-26,Subscription,ACC007
TXN013,5000.00,REF013,2024-01-27,Large order,ACC009
